"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7485,"5229574N","52","N",29574,95,"HAGCHEWE","Hagys Ford Rd & Chermar Ln - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.03813,-75.258681,"{803CE4F3-201A-4EFB-8736-8791D1CB3CA9}","2016"
7486,"5229575N","52","N",29575,96,"HAGBOASE","Hagys Ford Rd & Bobarn Dr - MBNS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.036257,-75.259596,"{FAD7E755-A24B-464B-B5F0-4BF826E34B1C}","2016"
7487,"5221663N","52","N",21663,97,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.034927,-75.259268,"{E77381A2-E3EA-4B3B-95BF-9E93412B6F82}","2016"
7488,"5231210N","52","N",31210,98,"HOLCONSW","Hollow Rd & Conshohocken State Rd","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.031183,-75.263001,"{6ADBDAC4-B547-4F3D-94A2-34B80BF8311D}","2016"
7489,"5221799N","52","N",21799,99,"CONMAPNW","Conshohocken State Rd & Maplecrest","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.037065,-75.277612,"{81FBBBC7-909F-4F2F-9982-6C4A46849B87}","2016"
7490,"5230136N","52","N",30136,100,"YOURIGSW","Youngs Ford Rd & Righters Mill Rd","City","Bus","No","APC Fall 2016",0,36,36,0,0,0,0,0,0,40.038024,-75.280247,"{AEEB0317-08F4-44DF-AD68-12641D5E2982}","2016"
7491,"5230136S","52","S",30136,1,"YOURIGSW","Youngs Ford Rd & Righters Mill Rd","City","Bus","No","APC Fall 2016",17,0,17,0,0,0,0,0,0,40.038024,-75.280247,"{07447650-7372-4246-B18A-DFCDA5D1B53E}","2016"
7492,"5221652S","52","S",21652,2,"BLACONNE","Black Rock Rd & Conshohocken State","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.03954,-75.279853,"{58D00EAC-B791-44AD-9138-01F939EE0D06}","2016"
7493,"5221653S","52","S",21653,3,"CONMAPSE","Conshohocken State Rd & Maplecrest","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.037164,-75.277908,"{122384FD-7B55-4D10-BA31-104A637A3149}","2016"
7494,"5230137S","52","S",30137,4,"CONMILSE","Conshohocken State Rd & Mill Creek","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.031307,-75.269408,"{1C42398D-D803-498C-9A54-77A1934384B6}","2016"
7495,"5221656S","52","S",21656,5,"HOLCONNE","Hollow Rd & Conshohocken State - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.031165,-75.262824,"{2CC32262-3B98-4B93-A664-CDE0DAEE85EC}","2016"
7496,"5221658S","52","S",21658,6,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.035042,-75.259079,"{5B2309E0-EE80-4750-A41E-8183D6871D42}","2016"
